# teltonika.lt,3.69.112.66
# teltonika.lt,35.157.156.54

api-apm.instabug.com,18.245.253.4
api-festa.tplinkcloud.com,3.215.203.12
api-festa.tplinkcloud.com,34.243.219.153
api-festa.tplinkcloud.com,52.201.189.129
api-iam.eu.intercom.io,34.254.116.95
api-iam.intercom.io,52.6.94.158
api-iam.intercom.io,52.22.99.103
api-iam.intercom.io,52.44.206.133
api-iam.intercom.io,54.152.130.11
api-iam.intercom.io,98.90.95.107
api-id.tplinkcloud.com,3.211.164.41
api-id.tplinkcloud.com,3.228.71.28
api-id.tplinkcloud.com,34.192.222.153
api-omada-central.tplinkcloud.com,34.243.219.153
api-omada-cloud-manager.tplinkcloud.com,3.212.79.37
api-omada-cloud-manager.tplinkcloud.com,34.233.220.65
api-omada-common-data-manager.tplinkcloud.com,3.1.92.201
api-omada-common-data-manager.tplinkcloud.com,52.76.77.235
api-omada.tplinkcloud.com,3.216.13.33
api-ssp.spot.im,18.244.140.34
api-ssp.spot.im,18.244.140.50
api-terminal.imin.sg,8.216.128.43
api-us.mida.so,35.225.119.91
api-vehicles.teltonika.lt,18.193.205.18
api.account.xiaomi.com,20.47.97.107
api.ad.intl.xiaomi.com,20.33.66.192
api.ad.intl.xiaomi.com,20.33.66.197
api.ad.intl.xiaomi.com,20.33.66.199
api.alemca.io,87.106.120.130
api.amazon.com,98.82.156.123
api.amazon.com,98.82.156.168
api.amazon.com,98.82.156.189
api.amazon.com,98.82.160.170
api.amazon.es,3.253.168.166
api.amazon.es,3.253.177.224
api.amazon.es,3.253.179.30
api.appcues.net,52.89.219.54
api.appexnw.com,104.17.209.85
api.appexnw.com,104.17.210.85
api.cloud.huawei.com,80.158.60.81
api.coinbase.com,104.18.35.15
api.coinbase.com,172.64.152.241
api.ddsysvideo.com,13.36.7.208
api.ddsysvideo.com,13.36.15.172
api.ddsysvideo.com,13.36.45.181
api.ddsysvideo.com,13.37.77.43
api.ddsysvideo.com,13.38.148.34
api.ddsysvideo.com,13.38.236.184
api.ddsysvideo.com,15.236.185.251
api.ddsysvideo.com,51.45.33.47
api.ddsysvideo.com,51.45.46.30
api.ddsysvideo.com,52.47.201.8
api.decs.dlink.com,3.94.230.51
api.decs.dlink.com,18.207.56.119
api.decs.dlink.com,18.233.180.161
api.decs.dlink.com,34.199.139.234
api.decs.dlink.com,44.206.156.86
api.decs.dlink.com,52.6.143.196
api.disobus.fsapi.com,34.250.56.141
api.disobus.fsapi.com,34.250.105.67
api.disobus.fsapi.com,34.255.67.167
api.disobus.fsapi.com,52.16.52.211
api.disobus.fsapi.com,52.19.115.185
api.disobus.fsapi.com,52.213.224.67
api.disobus.fsapi.com,63.33.20.242
api.disobus.fsapi.com,99.80.213.105
api.ds.gridx.ai,18.198.42.31
api.ds.gridx.ai,35.157.225.135
api.ds.gridx.ai,63.177.128.6
api.emma.io,23.88.74.85
api.fastned.nl,54.170.228.62
api.fastned.nl,54.247.60.21
api.feefo.com,104.18.94.24
api.flic.io,52.2.111.117
api.github.com,20.26.156.210
api.gov-static.tech,141.11.124.140
api.gov-static.tech,164.90.87.92
api.gov-static.tech,169.136.175.251
api.hpsmart.com,16.144.210.5
api.hpsmart.com,34.213.85.138
api.hpsmart.com,44.239.77.169
api.hpsmart.com,52.25.52.42
api.hpsmart.com,54.184.181.195
api.id5-sync.com,162.19.138.118
api.instabug.com,18.245.253.31
api.ipify.org,104.26.13.205
api.ipify.org,172.67.74.152
api.iterable.com,54.144.236.183
api.iterable.com,54.165.225.232
api.k.social.ea.com,52.86.188.173
api.kioskera.es,18.101.55.79
api.kraaft.co,34.96.64.47
api.maclookup.app,104.21.59.235
api.maptiler.com,104.17.245.40
api.mediego.com,51.83.35.26
api.micloud.xiaomi.net,161.117.98.38
api.mimecast.com,170.10.132.12
api.mixpanel.com,35.186.241.51
api.mixpanel.com,35.190.25.25
api.mixpanel.com,93.47.109.172
api.mixpanel.com,107.178.240.159
api.mixpanel.com,130.211.34.183
api.mobilepay.dk,193.142.211.21
api.mobilepay.dk,193.142.211.22
api.onesignal.com,104.16.160.145
api.onesignal.com,104.17.111.223
api.parrot-flow.com,18.194.10.135
api.paytef.es,195.77.225.147
api.privacy-center.org,108.138.233.27
api.privacy-center.org,108.138.233.47
api.privacy-center.org,108.138.233.123
api.producthunt.com,104.18.126.118
api.repla.io,104.26.4.195
api.repla.io,172.67.68.166
api.retailforce.cloud,13.107.253.64
api.retailforce.cloud,150.171.109.211
api.retailforce.cloud,150.171.109.215
api.retailforce.cloud,150.171.109.216
api.revenuecat.com,18.239.236.108
api.revenuecat.com,18.239.236.115
api.safetyculture.com,162.159.133.11
api.safetyculture.com,162.159.134.11
api.se-platform.com,18.225.80.101
